"n","a1","a2","a3","a4","a5","a6","b1"
11117,8,11,15,18,24,29,6
11118,5,11,12,17,20,29,10
11119,6,16,18,22,26,28,13
11120,4,12,19,20,25,28,9
11121,9,15,16,22,23,30,7
11122,4,6,12,17,23,29,8
11123,4,10,14,17,19,27,9
11124,4,11,16,21,28,29,7
11125,3,12,14,18,18,28,8
11126,6,11,16,18,21,28,7
11127,5,14,15,19,27,28,10
11128,8,10,10,19,25,30,6
11129,5,14,20,22,26,27,8
11130,7,10,10,21,26,30,10
11131,3,10,17,18,23,29,9
11132,9,12,16,21,24,30,8
11133,1,6,11,17,23,23,8
11134,6,10,15,17,22,29,10
11135,6,8,17,21,24,30,7
11136,5,10,12,16,23,28,10
11137,3,6,13,19,23,25,11
11138,7,16,23,24,27,31,12
11139,6,7,20,24,26,28,8
11140,4,9,15,19,23,27,3
11141,6,13,19,21,24,27,5
11142,4,10,17,19,23,29,3
11143,7,7,20,22,25,26,10
11144,6,11,11,19,22,31,10
11145,5,9,11,14,29,29,9
11146,5,14,15,17,20,27,8
11147,6,6,19,26,28,30,10
11148,5,14,15,19,24,27,4
11149,2,8,15,18,26,30,7
11150,6,13,16,21,26,29,6
11151,4,9,13,18,23,26,9
11152,0,5,13,15,18,24,8
11153,6,8,18,22,25,28,7
11154,7,11,12,20,23,31,8
12002,3,6,8,16,20,27,7
12003,0,6,9,14,23,30,10
12004,4,7,17,21,22,29,16
12005,10,11,19,24,25,32,11
12006,6,19,22,23,25,30,11
12007,7,12,16,21,29,32,7
12008,1,2,8,18,20,29,7
12009,4,8,17,18,25,29,6
12010,7,8,18,22,25,30,8
12011,8,9,15,20,21,32,7
12012,5,16,20,23,28,28,8
12013,3,9,10,18,30,32,6
12014,2,5,12,15,17,22,12
12015,6,12,13,19,20,26,9
12016,2,8,13,20,25,28,7
12017,10,12,17,22,26,27,12
12018,0,4,11,15,21,23,10
12019,6,12,16,24,26,31,12
12020,6,13,18,19,24,27,6
12021,5,10,18,22,27,29,7
12022,3,9,11,16,21,23,7
12023,0,5,6,14,21,23,5
12024,6,11,14,16,27,28,10
12025,5,5,10,10,21,33,15
12026,2,7,14,25,26,32,12
12027,3,11,19,20,23,25,1
12028,1,6,12,14,25,29,10
12029,5,10,16,20,23,27,10
12030,3,8,16,18,25,26,7
12031,6,12,16,22,29,30,9
12032,5,11,16,21,26,32,3
12033,3,5,11,18,26,29,7
12034,3,11,19,23,28,33,3
12035,2,5,15,16,25,31,10
12036,4,8,12,17,20,25,6
12037,5,8,10,16,22,28,11
12038,5,11,11,18,23,29,8
12039,4,10,17,21,27,32,8
12040,5,7,7,17,21,25,7
12041,5,9,16,21,23,30,9
12042,7,10,13,22,22,29,11
12043,6,10,12,18,21,32,9
12044,9,13,18,22,23,29,9
12045,2,13,14,19,24,31,10
12046,3,9,13,22,22,29,7
12047,5,6,13,19,20,30,9
12048,6,13,18,20,25,32,8
12049,5,9,16,22,22,31,10
12050,10,12,21,24,29,30,11
12051,4,4,17,24,29,32,8
12052,5,8,12,22,26,31,4
12053,5,11,11,12,24,30,7
12054,9,11,19,23,28,30,9
12055,7,8,9,24,24,28,6
12056,9,12,14,23,26,27,6
12057,5,10,11,17,25,30,8
12058,6,14,16,20,27,28,9
12059,5,16,17,18,24,28,7
12060,4,6,10,11,20,27,9
12061,4,9,13,18,27,31,8
12062,2,8,13,19,23,30,9
12063,3,3,18,20,29,32,3
12064,9,12,19,20,27,28,6
12065,5,7,13,19,25,27,10
12066,7,10,20,23,26,27,5
12067,4,8,10,17,25,31,13
12068,9,11,17,19,22,31,7
12069,3,8,13,17,25,29,11
12070,4,11,12,18,29,31,10
12071,5,8,9,11,25,27,6
12072,3,12,20,25,27,31,9
12073,6,8,12,16,22,23,12
12074,7,17,19,22,26,27,7
12075,8,11,12,16,23,27,4
12076,6,14,23,26,27,32,13
12077,4,11,12,21,23,27,7
12078,6,8,14,20,26,31,5
12079,3,6,13,18,23,25,7
12080,5,9,16,18,25,32,7
12081,3,9,15,21,23,30,10
12082,5,9,17,17,25,27,11
12083,7,7,13,17,27,28,5
12084,4,9,14,17,24,33,6
12085,1,8,14,19,24,29,5
12086,5,8,12,20,28,32,11
12087,6,10,16,18,22,28,7
12088,4,8,18,20,26,32,7
12089,5,10,19,22,27,33,11
12090,4,11,12,20,20,28,11
12091,4,5,10,17,18,28,19
12092,4,5,14,19,22,28,12
12093,3,9,14,24,24,29,9
12094,9,10,18,18,26,30,8
12095,6,11,17,22,28,34,8
12096,2,7,15,18,21,32,6
12097,8,9,12,17,28,30,5
12098,5,10,12,18,20,25,6
12099,6,11,13,16,24,28,4
12100,3,8,9,18,24,28,7
12101,1,5,14,18,19,22,7
12102,8,10,14,18,21,29,6
12103,7,11,20,20,21,28,7
12104,6,11,12,18,25,30,9
12105,6,13,20,21,24,31,9
12106,5,12,17,20,25,30,9
12107,3,4,13,14,28,30,8
12108,5,9,13,14,21,22,11
12109,6,7,16,19,23,31,8
12110,4,6,14,14,24,31,7
12111,0,8,9,13,21,23,15
12112,2,7,19,19,26,29,11
12113,3,7,9,13,22,28,6
12114,5,9,11,23,28,32,5
12115,4,8,12,18,22,31,7
12116,6,12,17,18,19,26,14
12117,1,7,13,19,24,32,9
12118,2,6,11,12,24,24,12
12119,1,8,8,23,26,30,5
12120,4,9,17,19,20,28,11
12121,7,8,13,25,28,32,7
12122,7,11,14,18,24,28,8
12123,3,6,14,19,24,29,6
12124,6,12,16,17,24,26,9
12125,2,4,11,16,19,29,7
12126,1,14,17,24,25,30,11
12127,2,6,9,18,21,28,11
12128,4,14,15,21,24,27,5
12129,3,18,18,19,25,29,3
12130,5,14,17,21,27,31,5
12131,3,6,13,23,24,28,12
12132,5,11,14,17,26,29,16
12133,5,8,12,20,23,26,7
12134,4,9,15,16,24,26,12
12135,3,9,15,21,27,30,9
12136,7,12,16,24,25,26,8
12137,5,6,12,22,24,26,9
12138,3,7,16,22,23,32,6
12139,7,9,16,19,26,30,5
12140,4,12,12,20,24,27,11
12141,8,11,14,23,27,31,5
12142,6,14,16,20,22,27,6
12143,1,2,13,22,23,27,7
12144,11,11,18,26,26,30,8
12145,6,11,14,21,26,29,11
12146,4,5,13,21,24,28,16
12147,3,6,12,17,20,26,7
12148,4,5,8,15,23,28,12
12149,6,10,14,20,24,33,6
12150,0,5,10,17,18,30,7
12151,4,9,13,19,26,27,15
12152,2,6,11,21,23,30,11
12153,2,5,11,13,19,24,10
12154,4,11,13,15,21,28,6
12155,3,12,16,20,26,28,5
13002,3,9,12,19,22,25,6
13003,5,7,16,19,29,29,7
13004,7,11,18,23,26,28,8
13005,3,11,16,20,25,33,6
13006,4,7,14,20,27,29,7
13007,7,13,21,24,26,33,5
13008,4,7,15,21,24,27,14
13009,4,15,17,22,24,32,11
13010,2,7,12,18,22,29,10
13011,2,9,9,13,20,28,4
13012,5,11,15,21,24,27,5
13013,2,3,6,15,20,27,12
13014,0,1,13,17,22,31,7
13015,6,15,20,21,27,31,12
13016,6,7,14,24,27,29,10
13017,7,10,17,19,23,27,11
13018,7,10,16,19,24,26,8
13019,4,7,17,20,26,29,2
13020,5,8,12,20,21,27,12
13021,5,8,18,18,25,30,9
13022,1,2,15,18,24,29,15
13023,3,12,15,21,22,31,5
13024,5,12,16,18,20,25,9
13025,3,7,10,18,24,30,2
13026,7,9,14,22,25,32,2
13027,5,7,12,18,20,25,12
13028,5,11,12,22,24,29,11
13029,2,5,6,11,20,22,11
13030,10,11,11,22,25,31,4
13031,6,11,14,14,16,24,13
13032,6,9,21,24,24,32,12
13033,4,8,15,22,27,33,6
13034,-1,8,10,21,22,24,12
13035,8,13,16,21,22,35,15
13036,5,7,18,22,23,29,9
13037,4,9,13,16,22,30,10
13038,4,5,9,15,21,27,9
13039,5,12,15,16,26,29,10
13040,9,11,17,17,27,32,6
13041,6,9,16,17,22,28,9
13042,5,10,16,20,26,29,3
13043,10,12,19,22,27,32,13
13044,2,6,7,14,19,25,13
13045,3,9,13,20,24,29,9
13046,2,7,10,10,18,19,4
13047,6,15,15,18,27,29,11
13048,7,11,22,28,28,29,3
13049,6,6,11,25,28,32,8
13050,5,12,14,19,24,29,5
13051,4,7,13,20,25,29,11
13052,6,6,15,17,22,30,8
13053,6,8,17,23,26,31,7
13054,4,9,14,19,24,27,13
13055,3,8,17,19,22,29,9
13056,8,14,20,22,25,30,8
13057,8,13,15,17,22,25,10
13058,6,13,19,24,25,29,10
13059,5,10,11,17,18,24,8
13060,6,12,13,18,22,30,11
13061,15,18,23,25,28,30,7
13062,3,14,16,21,28,29,5
13063,2,6,14,19,27,32,9
13064,4,11,12,19,27,28,12
13065,4,7,7,21,24,30,6
13066,9,10,26,30,32,34,12
13067,4,12,16,17,25,30,12
13068,5,11,11,16,24,30,3
13069,7,9,15,15,22,30,9
13070,1,5,12,21,22,26,4
13071,6,8,12,21,22,29,12
13072,6,8,12,13,23,25,12
13073,2,7,13,17,19,28,2
13074,3,6,10,20,26,30,8
13075,9,10,13,18,22,31,8
13076,3,11,11,20,27,32,10
13077,8,11,16,18,25,30,6
13078,4,9,15,18,25,30,9
13079,4,5,10,18,23,27,6
13080,2,11,14,15,25,29,9
13081,3,4,9,17,22,27,9
13082,5,5,11,20,22,22,5
13083,5,7,15,20,24,27,4
13084,5,6,14,18,21,21,4
13085,2,10,13,15,18,29,2
13086,1,7,9,17,22,30,12
13087,8,12,17,18,24,27,15
13088,3,11,14,17,18,27,12
13089,3,5,12,17,18,25,9
13090,4,10,15,19,23,31,13
13091,6,12,17,20,26,28,14
13092,5,11,14,19,24,28,7
13093,6,8,19,22,22,28,11
13094,8,11,14,22,26,33,10
13095,9,15,19,25,27,32,9
13096,3,7,12,20,23,32,6
13097,7,8,17,25,26,31,14
13098,5,14,16,26,27,32,8
13099,3,12,13,24,29,33,9
13100,3,8,9,18,23,32,7
13101,4,6,13,16,29,31,11
13102,2,11,17,19,19,29,9
13103,4,11,15,20,26,29,3
13104,6,7,12,19,27,30,6
13105,9,12,17,21,29,30,8
13106,8,14,24,24,30,32,7
13107,2,7,17,20,21,30,5
13108,5,8,10,21,25,28,7
13109,5,11,17,20,27,32,4
13110,3,6,14,22,23,29,14
13111,3,12,15,15,23,27,3
13112,4,10,14,23,24,29,3
13113,6,11,18,24,25,32,7
13114,5,13,21,23,27,29,-1
13115,11,11,17,23,28,30,6
13116,6,14,21,22,26,33,9
13117,5,14,20,26,28,30,8
13118,4,11,17,23,29,31,8
13119,9,11,20,30,32,34,10
13120,3,10,18,25,32,33,10
13121,5,6,12,18,25,33,6
13122,4,11,15,15,22,28,7
13123,4,8,10,18,21,29,4
13124,6,10,10,17,17,27,9
13125,8,13,17,21,27,30,16
13126,4,7,19,21,26,30,15
13127,6,7,15,20,28,31,10
13128,4,14,15,22,26,29,12
13129,5,11,18,20,26,28,11
13130,3,10,15,18,25,30,13
13131,5,6,20,23,25,28,15
13132,7,12,16,25,27,30,8
13133,1,6,9,22,25,30,8
13134,4,8,18,22,22,29,8
13135,5,7,12,17,23,28,10
13136,3,7,19,19,24,28,10
13137,8,12,15,20,21,29,6
13138,5,12,12,23,23,31,6
13139,11,16,18,20,28,29,9
13140,6,11,17,23,26,29,6
13141,4,9,14,17,25,30,7
13142,7,7,13,18,24,27,7
13143,3,8,13,17,22,29,10
13144,7,11,14,18,28,29,8
13145,2,6,10,15,22,27,4
13146,4,13,16,17,26,30,9
13147,2,9,17,23,30,30,10
13148,5,12,18,23,31,34,5
13149,2,11,16,21,25,26,2
13150,4,9,12,18,22,31,11
13151,1,14,19,24,24,25,6
13152,2,8,16,22,24,29,13
13153,3,8,18,21,30,33,11
13154,7,8,14,18,24,27,2
13155,3,9,15,23,25,28,11
14002,6,7,13,18,25,27,10
14003,4,12,18,20,24,29,8
14004,4,10,13,18,24,31,10
14005,4,9,12,21,26,28,5
14006,1,9,18,18,23,36,12
14007,7,18,20,25,29,32,4
14008,12,13,15,20,20,24,7
14009,4,9,12,19,24,29,7
14010,5,5,17,18,21,29,9
14011,2,8,14,27,28,34,8
14012,8,10,16,19,22,29,7
14013,5,7,10,17,25,31,12
14014,9,10,17,24,27,28,2
14015,4,7,13,21,27,29,6
14016,6,12,20,22,25,27,8
14017,2,3,8,20,27,31,6
14018,4,8,21,24,28,29,7
14019,4,12,15,23,23,32,5
14020,2,9,14,17,21,28,6
14021,6,13,15,25,27,28,9
14022,5,9,13,21,26,31,6
14023,4,12,20,23,30,32,10
14024,5,13,13,19,29,32,18
14025,2,10,13,18,24,26,6
14026,3,11,19,20,25,32,11
14027,5,8,16,20,25,27,10
14028,6,11,15,21,25,28,7
14029,5,11,16,19,25,27,7
14030,5,10,10,15,16,23,5
14031,10,13,17,23,27,31,6
14032,6,15,20,22,26,32,11
14033,0,4,6,17,22,27,9
14034,2,7,12,16,23,29,7
14035,5,8,16,19,22,26,9
14036,6,9,16,24,25,29,3
14037,5,10,11,20,26,29,5
14038,9,11,14,24,29,31,10
14039,5,14,20,25,29,32,13
14040,3,6,12,13,22,32,4
14041,3,11,19,22,23,27,10
14042,11,15,17,22,23,29,6
14043,2,7,12,19,24,30,7
14044,4,8,17,24,24,31,10
14045,5,10,15,21,27,30,6
14046,2,4,15,21,21,26,2
14047,3,11,15,20,25,29,10
14048,5,11,12,14,18,22,7
14049,4,11,11,28,33,35,10
14050,7,10,14,21,27,31,9
