"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71"
"18051","6","3","4","5","3","7","7","5","4","6","14","6","14","17","9","10","10","11","12","8","14","12","15","18","10","15","17","19","14","18","18","19","18","18","17","19","17","21","18","23","24","28","25","18","24","25","21","24","26","23","30","29","30","26","30","31","31","30","31","31","7","8","10","4","6","8","4","14","6","9"
"18052","3","4","0","2","4","3","2","7","4","5","8","9","10","8","9","10","9","7","6","7","12","13","15","18","15","16","12","8","18","10","18","22","21","23","21","16","22","17","27","16","24","27","24","24","22","28","28","24","30","23","24","28","32","28","33","32","36","33","30","23","9","4","6","12","5","8","10","13","9","10"
"18053","6","3","4","5","7","2","3","4","6","3","7","10","7","7","8","6","9","9","14","9","17","11","10","16","12","19","12","11","18","11","21","15","18","17","15","21","17","23","21","16","24","24","21","26","27","21","27","25","27","28","27","26","30","28","28","28","29","29","30","30","8","5","11","5","8","11","14","12","6","8"
"18054","4","4","6","5","7","6","2","6","5","6","8","8","9","9","11","9","8","9","10","8","18","9","17","13","20","18","15","16","12","11","22","22","19","17","21","22","19","19","22","20","24","23","23","19","22","24","22","26","23","25","31","30","29","31","29","26","29","27","29","32","8","11","5","5","14","4","9","6","11","10"
"18055","1","4","4","4","3","6","0","5","7","4","7","8","10","11","6","10","13","6","11","8","8","11","12","17","7","11","17","16","11","14","20","21","18","25","20","20","17","23","22","20","27","23","21","27","24","23","20","23","24","24","29","30","32","31","30","30","31","31","29","29","7","7","13","7","7","8","5","8","7","5"
"18056","7","4","0","0","4","7","4","4","6","3","9","7","3","10","7","8","8","10","10","11","13","11","6","15","14","15","18","13","11","17","20","14","11","16","17","16","19","16","19","19","24","16","24","27","24","18","26","26","26","26","29","29","28","31","31","30","27","29","29","29","6","1","4","9","7","4","7","8","6","7"
"18057","5","6","7","6","0","2","1","6","7","2","10","11","9","8","15","12","7","10","8","8","17","13","12","11","15","15","14","12","11","15","18","19","20","19","16","17","20","16","20","20","23","26","24","22","27","25","22","23","27","24","23","29","28","23","29","26","29","29","31","28","8","8","12","7","14","4","10","12","7","9"
"18058","3","6","7","4","7","4","5","1","6","6","6","11","13","6","13","15","8","11","10","10","17","14","14","14","16","16","14","11","14","15","17","20","17","16","21","16","21","19","15","20","25","23","22","26","22","23","23","28","22","22","27","29","28","31","30","28","27","29","32","28","4","13","8","9","4","9","9","13","8","8"
"18059","1","4","4","2","7","5","3","5","2","6","4","10","7","8","8","12","6","6","9","8","10","11","10","13","13","15","17","15","13","8","16","17","18","17","18","16","23","22","17","16","21","18","25","18","18","17","28","26","26","27","30","30","27","27","30","31","28","30","29","28","12","6","7","12","7","11","10","8","6","16"
"18060","2","10","5","5","3","3","1","5","7","1","10","10","9","10","10","10","6","8","10","14","10","14","18","13","14","10","15","12","12","18","10","19","22","19","22","15","23","17","18","22","26","29","26","25","23","23","24","26","22","22","26","29","30","31","30","29","26","29","27","28","8","8","8","7","9","9","13","13","7","5"
"18061","5","2","3","3","6","11","5","2","1","5","11","7","11","8","10","13","11","10","8","12","13","15","12","8","11","14","19","14","12","16","18","17","19","20","21","20","20","19","21","20","26","30","24","27","24","22","21","22","27","27","33","723","28","28","24","29","32","29","34","30","11","9","11","9","7","13","14","6","8","6"
"18062","2","1","4","3","3","1","2","6","5","5","4","9","6","5","5","7","7","10","6","11","15","12","12","13","5","18","11","11","14","14","19","25","15","15","22","20","20","22","15","15","21","29","18","24","23","23","25","25","24","26","27","719","31","27","31","35","30","30","29","31","9","9","7","4","7","5","10","8","13","10"
"18063","4","9","8","9","6","7","4","3","3","1","9","14","9","12","6","10","11","10","8","12","17","14","15","12","14","17","14","15","13","16","21","21","22","14","20","19","17","20","13","21","23","24","26","26","22","25","27","27","22","22","29","31","27","31","30","26","31","30","29","30","11","12","10","3","9","15","9","10","8","8"
"18064","7","5","11","4","7","6","5","9","3","7","9","6","14","14","12","10","9","12","12","10","13","19","17","18","17","17","11","14","19","21","18","20","23","19","21","18","19","18","20","21","25","21","28","20","25","27","26","26","21","22","29","29","28","29","30","28","28","30","25","25","2","10","9","8","6","4","8","6","12","15"
"18065","4","2","6","4","3","2","4","6","2","2","6","10","8","6","9","7","12","9","7","12","12","13","15","12","10","18","13","14","15","12","21","13","18","21","18","19","16","16","19","22","22","15","31","22","26","21","25","27","24","30","29","23","31","29","30","27","27","30","25","715","9","9","11","9","8","7","8","6","9","8"
"18066","7","6","4","7","6","4","4","2","2","3","11","9","10","11","9","9","12","5","6","6","16","16","15","16","11","14","18","6","17","13","23","24","22","23","19","21","21","14","17","16","25","27","25","25","24","24","25","21","25","27","31","31","29","31","26","31","27","30","29","29","6","11","6","6","7","9","9","9","4","6"
